mouse,strain,cell,id,cell_type,drug,condition,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,spiking,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,epsp,epsp_max,epsp_latency,epsp_width,ipsp,ipsp_max,ipsp_latency,ipsp_width,psam_expression_cell,psam_expression_slice,psam_expression_animal,serotype,dillution
289,ndnf,S2C1,289_S2C1,l2_pc,upsem10,1020,-61.8248,25.5567,29.9747,12.5245,11.5728,15.3116,16.1628,0.463965,Y,-43.5812,47.1437,0.52,196.875,-57.1875,NA,0.25415596,NA,NA,-4.333144,-4.488551667,2.750366667,28.23213333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,1020,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,1020,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,1020,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem10,1020,-61.8248,25.5567,29.9747,12.5245,11.5728,15.3116,16.1628,0.463965,Y,-43.5812,47.1437,0.52,196.875,-57.1875,NA,0.25415596,NA,NA,-4.333144,-4.488551667,2.750366667,28.23213333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,1020,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,1020,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,baseline,1020,-65.1225,49.6546,48.1003,8.56554,10.2539,11.0859,11.5476,0.510078,Y,-45.1375,48.3312,0.59,160,-61.5625,NA,0.332903172,NA,NA,-0.209606717,-0.526471867,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,upsem10,1020,-62.6523,62.5305,110.345,1.67422,18.5805,53.8098,39.6807,0.501391,Y,-43.1,46.9937,0.59,73.75,-61.5,NA,0.434410613,NA,NA,-0.9558164,-1.206213567,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,upsem20,1020,-63.3392,64.1987,112.947,20.136,16.1398,39.831,26.2949,0.556281,Y,-45,45.7687,0.58,68.125,-62.5938,NA,0.446273633,NA,NA,-0.9396885,-1.1828936,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,washout,1020,-76.4378,21.2931,28.7987,3.81877,3.45195,3.08083,2.93911,0.714929,Y,-49.6875,37.4453,0.65,546.875,-60,NA,0.39476569,NA,NA,-0.4527045,-0.584400967,NA,NA,N,N,Y,9,1
